"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET";"DIST";"DISTLINK";"DISTPN";"MFR";"MPN";"VALUE";
"1";"100K";"100KΩ_SMD-0402_1/16W_5%";"RESC1005X35_SMD-0402";"R2";"";"http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=311-100KJRCT-ND";"311-100KJRCT-ND";"Yageo";"RC0402JR-07100KL";"100K";
"1";"140K";"140KΩ_SMD-0402_1/16W-1%";"RESC1005X35_SMD-0402";"R1";"";"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf";"Digikey";"https://www.digikey.com/en/products/detail/yageo/RC0402FR-07140KL/5280838?s=N4IgTCBcDaIJoEEDiYCcB2AHAYQCoFoA5AERAF0BfIA";"YAG2978CT-ND";"Yageo";"RC0402FR-07140KL";"140K";
"2";"1uF/25V";"1UF_CER_SMD-0402_25V-10%";"CAPC1005X55_SMD-0402";"C1, C2";"";"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_lowprofile_en.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-13185-1-ND";"445-13185-1-ND";"TDK Corporation";"CGB2A1X5R1E105K033BC";"1uF/25V";
"1";"MAX1749EUK+T";"MAX1749_MAX1749EUK-T";"SOT95P280X117-5N";"U1";"IC MOTOR DRVR 2.5V-6.5V SOT23-5 Motor Driver PMOS  SOT-23-5";"https://datasheets.maximintegrated.com/en/ds/MAX1749.pdf";"Digikey";"https://www.digikey.com/en/products/detail/maxim-integrated/MAX1749EUK-T/1517860?s=N4IgTCBcDaILIEEAaBGA7AFgJwFECqA0gNQAqAwiQLQByAIiALoC%2BQA";"MAX1749EUK+TCT-ND";"Maxim Integrated";"MAX1749EUK+T";"MAX1749EUK+T";
"2";"PTH VERT MALE";"1X02_PTH_VERT_MALE_2.54MM";"HDRV2W64P254_1X2_508X254X838B";"J1, J2";"2 Positions Header Connector 0.079" (2.00mm) Through Hole Tin";"https://drawings-pdf.s3.amazonaws.com/C10436.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=S1012E-02-ND";"S1012E-02-ND";"Sullins Connector Solutions";"PEC02SAAN";"PTH VERT MALE";
